time,potential,pair
9/22/2023 15:11,-1,2 to 4
9/22/2023 15:12,1830,76.2 to 78.2
9/22/2023 15:13,1460,152.4 to 154.4
9/22/2023 15:14,970,226.6 to 228.6
9/22/2023 15:15,1130,2 to 78.2
9/22/2023 15:16,1860,2 to 154.4
9/22/2023 15:17,1920,2 to 228.6
9/22/2023 16:11,9,2 to 4
9/22/2023 16:12,1610,76.2 to 78.2
9/22/2023 16:13,1350,152.4 to 154.4
9/22/2023 16:14,800,226.6 to 228.6
9/22/2023 16:15,1120,2 to 78.2
9/22/2023 16:16,2100,2 to 154.4
9/22/2023 16:17,2150,2 to 228.6
9/22/2023 18:11,33,2 to 4
9/22/2023 18:12,1410,76.2 to 78.2
9/22/2023 18:13,1290,152.4 to 154.4
9/22/2023 18:14,890,226.6 to 228.6
9/22/2023 18:15,984,2 to 78.2
9/22/2023 18:16,2020,2 to 154.4
9/22/2023 18:17,2040,2 to 228.6
9/22/2023 19:11,23,2 to 4
9/22/2023 19:12,1148,76.2 to 78.2
9/22/2023 19:13,1280,152.4 to 154.4
9/22/2023 19:14,810,226.6 to 228.6
9/22/2023 19:15,638,2 to 78.2
9/22/2023 19:16,1930,2 to 154.4
9/22/2023 19:17,1930,2 to 228.6
9/22/2023 20:11,19,2 to 4
9/22/2023 20:12,962,76.2 to 78.2
9/22/2023 20:13,1300,152.4 to 154.4
9/22/2023 20:14,1190,226.6 to 228.6
9/22/2023 20:15,392,2 to 78.2
9/22/2023 20:16,1870,2 to 154.4
9/22/2023 20:18,1890,2 to 228.6
9/22/2023 22:11,21,2 to 4
9/22/2023 22:12,861,76.2 to 78.2
9/22/2023 22:13,1400,152.4 to 154.4
9/22/2023 22:14,1480,226.6 to 228.6
9/22/2023 22:15,137,2 to 78.2
9/22/2023 22:16,1750,2 to 154.4
9/22/2023 22:18,1760,2 to 228.6
9/23/2023 0:11,19,2 to 4
9/23/2023 0:12,373,76.2 to 78.2
9/23/2023 0:13,1260,152.4 to 154.4
9/23/2023 0:14,-63,226.6 to 228.6
9/23/2023 0:15,-274,2 to 78.2
9/23/2023 0:16,1630,2 to 154.4
9/23/2023 0:18,1600,2 to 228.6
9/23/2023 2:11,18,2 to 4
9/23/2023 2:12,141,76.2 to 78.2
9/23/2023 2:13,1220,152.4 to 154.4
9/23/2023 2:14,-457,226.6 to 228.6
9/23/2023 2:15,-511,2 to 78.2
9/23/2023 2:16,1540,2 to 154.4
9/23/2023 2:18,1570,2 to 228.6
9/23/2023 4:11,18,2 to 4
9/23/2023 4:12,302,76.2 to 78.2
9/23/2023 4:13,1240,152.4 to 154.4
9/23/2023 4:14,1040,226.6 to 228.6
9/23/2023 4:15,-384,2 to 78.2
9/23/2023 4:16,1400,2 to 154.4
9/23/2023 4:18,1550,2 to 228.6
9/23/2023 6:11,17,2 to 4
9/23/2023 6:12,314,76.2 to 78.2
9/23/2023 6:13,1290,152.4 to 154.4
9/23/2023 6:14,2230,226.6 to 228.6
9/23/2023 6:15,-415,2 to 78.2
9/23/2023 6:16,1310,2 to 154.4
9/23/2023 6:18,1550,2 to 228.6
9/23/2023 7:11,13,2 to 4
9/23/2023 7:12,294,76.2 to 78.2
9/23/2023 7:13,1270,152.4 to 154.4
9/23/2023 7:14,2310,226.6 to 228.6
9/23/2023 7:15,-452,2 to 78.2
9/23/2023 7:16,1280,2 to 154.4
9/23/2023 7:18,1520,2 to 228.6
9/23/2023 8:11,11,2 to 4
9/23/2023 8:12,278,76.2 to 78.2
9/23/2023 8:13,1330,152.4 to 154.4
9/23/2023 8:14,2480,226.6 to 228.6
9/23/2023 8:15,-486,2 to 78.2
9/23/2023 8:16,1300,2 to 154.4
9/23/2023 8:18,1530,2 to 228.6
9/23/2023 10:11,16,2 to 4
9/23/2023 10:12,235,76.2 to 78.2
9/23/2023 10:13,1320,152.4 to 154.4
9/23/2023 10:14,2770,226.6 to 228.6
9/23/2023 10:15,-574,2 to 78.2
9/23/2023 10:16,1500,2 to 154.4
9/23/2023 10:18,1780,2 to 228.6
9/23/2023 11:11,10,2 to 4
9/23/2023 11:12,220,76.2 to 78.2
9/23/2023 11:13,1280,152.4 to 154.4
9/23/2023 11:14,3060,226.6 to 228.6
9/23/2023 11:15,-626,2 to 78.2
9/23/2023 11:17,1570,2 to 154.4
9/23/2023 11:18,1840,2 to 228.6
9/23/2023 12:11,6,2 to 4
9/23/2023 12:12,197,76.2 to 78.2
9/23/2023 12:13,1280,152.4 to 154.4
9/23/2023 12:14,2190,226.6 to 228.6
9/23/2023 12:15,-653,2 to 78.2
9/23/2023 12:17,1590,2 to 154.4
9/23/2023 12:18,1880,2 to 228.6
9/23/2023 14:11,5,2 to 4
9/23/2023 14:12,159,76.2 to 78.2
9/23/2023 14:13,1890,152.4 to 154.4
9/23/2023 14:14,1790,226.6 to 228.6
9/23/2023 14:15,-613,2 to 78.2
9/23/2023 14:17,1550,2 to 154.4
9/23/2023 14:18,1570,2 to 228.6
9/23/2023 15:11,3,2 to 4
9/23/2023 15:12,131,76.2 to 78.2
9/23/2023 15:13,1870,152.4 to 154.4
9/23/2023 15:14,1400,226.6 to 228.6
9/23/2023 15:15,-686,2 to 78.2
9/23/2023 15:17,1710,2 to 154.4
9/23/2023 15:18,1680,2 to 228.6
9/23/2023 16:11,9,2 to 4
9/23/2023 16:12,93,76.2 to 78.2
9/23/2023 16:13,1420,152.4 to 154.4
9/23/2023 16:14,1080,226.6 to 228.6
9/23/2023 16:15,-800,2 to 78.2
9/23/2023 16:17,1900,2 to 154.4
9/23/2023 16:18,1830,2 to 228.6
9/23/2023 18:11,59,2 to 4
9/23/2023 18:12,302,76.2 to 78.2
9/23/2023 18:13,3470,152.4 to 154.4
9/23/2023 18:14,1150,226.6 to 228.6
9/23/2023 18:15,-645,2 to 78.2
9/23/2023 18:17,3450,2 to 154.4
9/23/2023 18:18,3310,2 to 228.6
9/23/2023 19:11,59,2 to 4
9/23/2023 19:12,360,76.2 to 78.2
9/23/2023 19:13,1130,152.4 to 154.4
9/23/2023 19:14,1030,226.6 to 228.6
9/23/2023 19:15,-320,2 to 78.2
9/23/2023 19:17,3350,2 to 154.4
9/23/2023 19:18,3120,2 to 228.6
9/23/2023 20:11,61,2 to 4
9/23/2023 20:12,310,76.2 to 78.2
9/23/2023 20:13,960,152.4 to 154.4
9/23/2023 20:14,880,226.6 to 228.6
9/23/2023 20:15,-54,2 to 78.2
9/23/2023 20:17,3290,2 to 154.4
9/23/2023 20:18,3010,2 to 228.6
9/23/2023 22:11,60,2 to 4
9/23/2023 22:12,442,76.2 to 78.2
9/23/2023 22:13,1220,152.4 to 154.4
9/23/2023 22:14,920,226.6 to 228.6
9/23/2023 22:15,387,2 to 78.2
9/23/2023 22:17,3100,2 to 154.4
9/23/2023 22:18,2860,2 to 228.6
9/24/2023 0:11,44,2 to 4
9/24/2023 0:12,845,76.2 to 78.2
9/24/2023 0:13,1350,152.4 to 154.4
9/24/2023 0:14,740,226.6 to 228.6
9/24/2023 0:15,789,2 to 78.2
9/24/2023 0:17,2860,2 to 154.4
9/24/2023 0:18,2730,2 to 228.6
9/24/2023 2:11,32,2 to 4
9/24/2023 2:12,1150,76.2 to 78.2
9/24/2023 2:13,1530,152.4 to 154.4
9/24/2023 2:14,940,226.6 to 228.6
9/24/2023 2:16,1020,2 to 78.2
9/24/2023 2:17,2680,2 to 154.4
9/24/2023 2:18,2630,2 to 228.6
9/24/2023 4:11,26,2 to 4
9/24/2023 4:12,1300,76.2 to 78.2
9/24/2023 4:13,1630,152.4 to 154.4
9/24/2023 4:14,113,226.6 to 228.6
9/24/2023 4:16,1110,2 to 78.2
9/24/2023 4:17,2460,2 to 154.4
9/24/2023 4:18,2440,2 to 228.6
9/24/2023 6:11,21,2 to 4
9/24/2023 6:12,1370,76.2 to 78.2
9/24/2023 6:13,1060,152.4 to 154.4
9/24/2023 6:14,245,226.6 to 228.6
9/24/2023 6:16,1200,2 to 78.2
9/24/2023 6:17,2440,2 to 154.4
9/24/2023 6:18,2400,2 to 228.6
9/24/2023 7:11,14,2 to 4
9/24/2023 7:12,1380,76.2 to 78.2
9/24/2023 7:13,720,152.4 to 154.4
9/24/2023 7:14,1040,226.6 to 228.6
9/24/2023 7:16,1210,2 to 78.2
9/24/2023 7:17,2390,2 to 154.4
9/24/2023 7:18,2310,2 to 228.6
9/24/2023 8:11,13,2 to 4
9/24/2023 8:12,1390,76.2 to 78.2
9/24/2023 8:13,1150,152.4 to 154.4
9/24/2023 8:14,850,226.6 to 228.6
9/24/2023 8:16,1230,2 to 78.2
9/24/2023 8:17,2360,2 to 154.4
9/24/2023 8:18,2260,2 to 228.6
9/24/2023 10:11,28,2 to 4
9/24/2023 10:12,1430,76.2 to 78.2
9/24/2023 10:13,1060,152.4 to 154.4
9/24/2023 10:14,695,226.6 to 228.6
9/24/2023 10:16,1340,2 to 78.2
9/24/2023 10:17,2520,2 to 154.4
9/24/2023 10:18,2440,2 to 228.6
9/24/2023 11:11,20,2 to 4
9/24/2023 11:12,1450,76.2 to 78.2
9/24/2023 11:13,1210,152.4 to 154.4
9/24/2023 11:14,810,226.6 to 228.6
9/24/2023 11:16,1370,2 to 78.2
9/24/2023 11:17,2530,2 to 154.4
9/24/2023 11:18,2450,2 to 228.6
9/24/2023 12:11,17,2 to 4
9/24/2023 12:12,1450,76.2 to 78.2
9/24/2023 12:13,1380,152.4 to 154.4
9/24/2023 12:14,-15,226.6 to 228.6
9/24/2023 12:16,1420,2 to 78.2
9/24/2023 12:17,2610,2 to 154.4
9/24/2023 12:18,2550,2 to 228.6
9/24/2023 14:11,19,2 to 4
9/24/2023 14:12,1470,76.2 to 78.2
9/24/2023 14:13,1630,152.4 to 154.4
9/24/2023 14:14,-131,226.6 to 228.6
9/24/2023 14:16,1520,2 to 78.2
9/24/2023 14:17,2740,2 to 154.4
9/24/2023 14:18,2760,2 to 228.6
9/24/2023 15:11,4,2 to 4
9/24/2023 15:12,1470,76.2 to 78.2
9/24/2023 15:13,1650,152.4 to 154.4
9/24/2023 15:14,59,226.6 to 228.6
9/24/2023 15:16,1530,2 to 78.2
9/24/2023 15:17,2740,2 to 154.4
9/24/2023 15:18,2790,2 to 228.6
9/24/2023 16:11,-6,2 to 4
9/24/2023 16:12,1490,76.2 to 78.2
9/24/2023 16:13,1670,152.4 to 154.4
9/24/2023 16:15,321,226.6 to 228.6
9/24/2023 16:16,1560,2 to 78.2
9/24/2023 16:17,2760,2 to 154.4
9/24/2023 16:18,2890,2 to 228.6
9/24/2023 18:11,-17,2 to 4
9/24/2023 18:12,1510,76.2 to 78.2
9/24/2023 18:13,1630,152.4 to 154.4
9/24/2023 18:15,1340,226.6 to 228.6
9/24/2023 18:16,1620,2 to 78.2
9/24/2023 18:17,2840,2 to 154.4
9/24/2023 18:18,2970,2 to 228.6
9/24/2023 19:11,-32,2 to 4
9/24/2023 19:12,1510,76.2 to 78.2
9/24/2023 19:13,1580,152.4 to 154.4
9/24/2023 19:15,900,226.6 to 228.6
9/24/2023 19:16,1610,2 to 78.2
9/24/2023 19:17,2780,2 to 154.4
9/24/2023 19:18,2850,2 to 228.6
9/24/2023 20:11,-42,2 to 4
9/24/2023 20:12,1510,76.2 to 78.2
9/24/2023 20:13,1690,152.4 to 154.4
9/24/2023 20:15,84,226.6 to 228.6
9/24/2023 20:16,1600,2 to 78.2
9/24/2023 20:17,2740,2 to 154.4
9/24/2023 20:18,2810,2 to 228.6
9/24/2023 22:11,-43,2 to 4
9/24/2023 22:12,1530,76.2 to 78.2
9/24/2023 22:13,1630,152.4 to 154.4
9/24/2023 22:15,152,226.6 to 228.6
9/24/2023 22:16,1590,2 to 78.2
9/24/2023 22:17,2640,2 to 154.4
9/24/2023 22:18,2770,2 to 228.6
9/25/2023 0:11,-41,2 to 4
9/25/2023 0:12,1540,76.2 to 78.2
9/25/2023 0:13,1700,152.4 to 154.4
9/25/2023 0:15,-539,226.6 to 228.6
9/25/2023 0:16,1590,2 to 78.2
9/25/2023 0:17,2570,2 to 154.4
9/25/2023 0:18,2750,2 to 228.6
9/25/2023 2:11,-43,2 to 4
9/25/2023 2:12,1550,76.2 to 78.2
9/25/2023 2:13,1680,152.4 to 154.4
9/25/2023 2:15,198,226.6 to 228.6
9/25/2023 2:16,1580,2 to 78.2
9/25/2023 2:17,2480,2 to 154.4
9/25/2023 2:18,2980,2 to 228.6
9/25/2023 4:11,-44,2 to 4
9/25/2023 4:12,1550,76.2 to 78.2
9/25/2023 4:13,1640,152.4 to 154.4
9/25/2023 4:15,570,226.6 to 228.6
9/25/2023 4:16,1540,2 to 78.2
9/25/2023 4:17,2360,2 to 154.4
9/25/2023 4:18,2900,2 to 228.6
9/25/2023 6:11,-48,2 to 4
9/25/2023 6:12,1540,76.2 to 78.2
9/25/2023 6:13,1760,152.4 to 154.4
9/25/2023 6:15,-617,226.6 to 228.6
9/25/2023 6:16,1480,2 to 78.2
9/25/2023 6:17,2200,2 to 154.4
9/25/2023 6:18,2510,2 to 228.6
9/25/2023 7:11,-44,2 to 4
9/25/2023 7:12,1530,76.2 to 78.2
9/25/2023 7:14,1770,152.4 to 154.4
9/25/2023 7:15,660,226.6 to 228.6
9/25/2023 7:16,1480,2 to 78.2
9/25/2023 7:17,2180,2 to 154.4
9/25/2023 7:18,2670,2 to 228.6
9/25/2023 8:11,-44,2 to 4
9/25/2023 8:12,1520,76.2 to 78.2
9/25/2023 8:14,1770,152.4 to 154.4
9/25/2023 8:15,1770,226.6 to 228.6
9/25/2023 8:16,1500,2 to 78.2
9/25/2023 8:17,2180,2 to 154.4
9/25/2023 8:18,2810,2 to 228.6
9/25/2023 10:11,-41,2 to 4
9/25/2023 10:12,1510,76.2 to 78.2
9/25/2023 10:14,1620,152.4 to 154.4
9/25/2023 10:15,1390,226.6 to 228.6
9/25/2023 10:16,1580,2 to 78.2
9/25/2023 10:17,2310,2 to 154.4
9/25/2023 10:18,2440,2 to 228.6
9/25/2023 11:11,-43,2 to 4
9/25/2023 11:12,1510,76.2 to 78.2
9/25/2023 11:14,1740,152.4 to 154.4
9/25/2023 11:15,930,226.6 to 228.6
9/25/2023 11:16,1620,2 to 78.2
9/25/2023 11:17,2360,2 to 154.4
9/25/2023 11:18,2380,2 to 228.6
9/25/2023 12:11,-31,2 to 4
9/25/2023 12:12,1510,76.2 to 78.2
9/25/2023 12:14,1640,152.4 to 154.4
9/25/2023 12:15,496,226.6 to 228.6
9/25/2023 12:16,1670,2 to 78.2
9/25/2023 12:17,2400,2 to 154.4
9/25/2023 12:18,2480,2 to 228.6
9/25/2023 14:11,-30,2 to 4
9/25/2023 14:12,1560,76.2 to 78.2
9/25/2023 14:14,1620,152.4 to 154.4
9/25/2023 14:15,634,226.6 to 228.6
9/25/2023 14:16,1780,2 to 78.2
9/25/2023 14:17,2530,2 to 154.4
9/25/2023 14:18,2760,2 to 228.6
9/25/2023 15:11,-41,2 to 4
9/25/2023 15:12,1550,76.2 to 78.2
9/25/2023 15:14,1670,152.4 to 154.4
9/25/2023 15:15,664,226.6 to 228.6
9/25/2023 15:16,1770,2 to 78.2
9/25/2023 15:17,2490,2 to 154.4
9/25/2023 15:18,2880,2 to 228.6
9/25/2023 16:11,-41,2 to 4
9/25/2023 16:12,1550,76.2 to 78.2
9/25/2023 16:14,1590,152.4 to 154.4
9/25/2023 16:15,1430,226.6 to 228.6
9/25/2023 16:16,1760,2 to 78.2
9/25/2023 16:17,2440,2 to 154.4
9/25/2023 16:18,2950,2 to 228.6
9/25/2023 18:11,22,2 to 4
9/25/2023 18:12,1550,76.2 to 78.2
9/25/2023 18:14,1790,152.4 to 154.4
9/25/2023 18:15,1420,226.6 to 228.6
9/25/2023 18:16,2030,2 to 78.2
9/25/2023 18:17,2670,2 to 154.4
9/25/2023 18:18,3080,2 to 228.6
9/25/2023 19:11,56,2 to 4
9/25/2023 19:12,1530,76.2 to 78.2
9/25/2023 19:14,1910,152.4 to 154.4
9/25/2023 19:15,1030,226.6 to 228.6
9/25/2023 19:16,2120,2 to 78.2
9/25/2023 19:17,2710,2 to 154.4
9/25/2023 19:18,2990,2 to 228.6
9/25/2023 20:11,73,2 to 4
9/25/2023 20:12,1530,76.2 to 78.2
9/25/2023 20:14,1990,152.4 to 154.4
9/25/2023 20:15,890,226.6 to 228.6
9/25/2023 20:16,2160,2 to 78.2
9/25/2023 20:17,2720,2 to 154.4
9/25/2023 20:18,2920,2 to 228.6
9/25/2023 22:11,65,2 to 4
9/25/2023 22:13,1520,76.2 to 78.2
9/25/2023 22:14,2130,152.4 to 154.4
9/25/2023 22:15,1150,226.6 to 228.6
9/25/2023 22:16,2340,2 to 78.2
9/25/2023 22:17,2900,2 to 154.4
9/25/2023 22:18,2960,2 to 228.6
9/26/2023 0:11,40,2 to 4
9/26/2023 0:13,1480,76.2 to 78.2
9/26/2023 0:14,2140,152.4 to 154.4
9/26/2023 0:15,1220,226.6 to 228.6
9/26/2023 0:16,2510,2 to 78.2
9/26/2023 0:17,3090,2 to 154.4
9/26/2023 0:18,2990,2 to 228.6
9/26/2023 2:11,-51,2 to 4
9/26/2023 2:13,1450,76.2 to 78.2
9/26/2023 2:14,2040,152.4 to 154.4
9/26/2023 2:15,1150,226.6 to 228.6
9/26/2023 2:16,2450,2 to 78.2
9/26/2023 2:17,2960,2 to 154.4
9/26/2023 2:18,2860,2 to 228.6
9/26/2023 4:11,-156,2 to 4
9/26/2023 4:13,1430,76.2 to 78.2
9/26/2023 4:14,2130,152.4 to 154.4
9/26/2023 4:15,1130,226.6 to 228.6
9/26/2023 4:16,2400,2 to 78.2
9/26/2023 4:17,2840,2 to 154.4
9/26/2023 4:18,2740,2 to 228.6
9/26/2023 6:11,-187,2 to 4
9/26/2023 6:13,1420,76.2 to 78.2
9/26/2023 6:14,2210,152.4 to 154.4
9/26/2023 6:15,860,226.6 to 228.6
9/26/2023 6:16,2350,2 to 78.2
9/26/2023 6:17,2750,2 to 154.4
9/26/2023 6:18,2630,2 to 228.6
9/26/2023 7:11,-196,2 to 4
9/26/2023 7:13,1390,76.2 to 78.2
9/26/2023 7:14,1990,152.4 to 154.4
9/26/2023 7:15,356,226.6 to 228.6
9/26/2023 7:16,2230,2 to 78.2
9/26/2023 7:17,2570,2 to 154.4
9/26/2023 7:18,2510,2 to 228.6
9/26/2023 8:11,-193,2 to 4
9/26/2023 8:13,1360,76.2 to 78.2
9/26/2023 8:14,2010,152.4 to 154.4
9/26/2023 8:15,636,226.6 to 228.6
9/26/2023 8:16,2160,2 to 78.2
9/26/2023 8:17,2470,2 to 154.4
9/26/2023 8:18,2450,2 to 228.6
9/26/2023 10:11,-193,2 to 4
9/26/2023 10:13,1310,76.2 to 78.2
9/26/2023 10:14,1680,152.4 to 154.4
9/26/2023 10:15,1200,226.6 to 228.6
9/26/2023 10:16,2380,2 to 78.2
9/26/2023 10:17,2730,2 to 154.4
9/26/2023 10:18,2650,2 to 228.6
